year,,year,donor,recipient,amount
1981,404,1981,Belgium,India,52536402.0
1981,440,1981,Norway,India,48782761.0
1981,411,1981,Denmark,Thailand,40653634.0
1981,423,1981,Germany,Thailand,32142358.0
1981,458,1981,United States,Chile,20891611.0
1981,447,1981,Switzerland,India,15337941.0
1981,409,1981,Canada,Thailand,10677550.0
1981,399,1981,Australia,Thailand,10635304.0
1981,405,1981,Belgium,Thailand,9381500.0
1981,398,1981,Australia,India,7790527.0
1981,428,1981,Japan,Saudi Arabia,7385634.0
1981,401,1981,Austria,India,7202447.0
1981,453,1981,United Kingdom,Thailand,5528569.0
1981,435,1981,Netherlands,Brazil,3627774.0
1981,420,1981,Germany,Korea,3564772.0
1981,436,1981,Netherlands,Chile,2863074.0
1981,441,1981,Norway,Thailand,2342160.0
1981,437,1981,Netherlands,Colombia,2023268.0
1981,448,1981,Switzerland,Thailand,1670175.0
1981,449,1981,United Kingdom,Colombia,1314593.0
1981,402,1981,Austria,Thailand,998806.0
1981,416,1981,Germany,Chile,851980.0
1981,406,1981,Canada,Brazil,755787.0
1981,445,1981,Switzerland,Brazil,642375.0
1981,446,1981,Switzerland,Colombia,395308.0
1981,451,1981,United Kingdom,India,249773.0
1981,443,1981,Sweden,Chile,195537.0
1981,407,1981,Canada,Colombia,131851.0
1981,417,1981,Germany,Colombia,110508.0
1981,421,1981,Germany,Kuwait,78425.0
1981,452,1981,United Kingdom,Korea,8764.0
1982,505,1982,Japan,Thailand,1184393540.0
1982,534,1982,United States,Colombia,1105252209.0
1982,495,1982,Germany,India,642502575.0
1982,527,1982,United Kingdom,India,574364575.0
1982,536,1982,United States,India,439452542.0
1982,490,1982,France,India,261138217.0
1982,531,1982,United States,Brazil,243616089.0
1982,537,1982,United States,Korea,177056349.0
1982,489,1982,France,Brazil,174092145.0
1982,502,1982,Japan,India,162613562.0
1982,514,1982,Netherlands,India,150848639.0
1982,521,1982,Sweden,India,146982422.0
1982,543,1982,United States,Thailand,136081092.0
1982,507,1982,Kuwait,India,131175647.0
1982,540,1982,United States,Saudi Arabia,123405870.0
1982,488,1982,Denmark,India,122090821.0
1982,518,1982,Norway,India,107092081.0
1982,528,1982,United Kingdom,Thailand,102361990.0
1982,526,1982,United Kingdom,Brazil,98608165.0
1982,494,1982,Germany,Colombia,89616391.0
1982,504,1982,Japan,Saudi Arabia,73678041.0
1982,524,1982,Switzerland,India,57571996.0
1982,498,1982,Germany,Thailand,54652162.0
1982,508,1982,Kuwait,Thailand,50452172.0
1982,496,1982,Germany,Korea,38069388.0
1982,487,1982,Canada,Thailand,35188275.0
1982,499,1982,Japan,Brazil,32351171.0
1982,492,1982,Germany,Brazil,26881516.0
1982,485,1982,Canada,India,26052005.0
1982,483,1982,Canada,Colombia,19200882.0
1982,491,1982,France,Thailand,11313378.0
1982,479,1982,Australia,Thailand,10238000.0
1982,500,1982,Japan,Chile,8637449.0
1982,501,1982,Japan,Colombia,8577047.0
1982,482,1982,Canada,Chile,5392608.0
1982,515,1982,Netherlands,Thailand,5223345.0
1982,523,1982,Switzerland,Colombia,5177576.0
1982,512,1982,Netherlands,Chile,5024690.0
1982,533,1982,United States,Chile,4746172.0
1982,519,1982,Norway,Thailand,3408430.0
1982,493,1982,Germany,Chile,1182864.0
1982,511,1982,Netherlands,Brazil,1116357.0
1982,513,1982,Netherlands,Colombia,1095844.0
1982,525,1982,Switzerland,Thailand,935352.0
1982,481,1982,Canada,Brazil,906703.0
1982,520,1982,Sweden,Chile,734288.0
1982,486,1982,Canada,Korea,534500.0
1982,503,1982,Japan,Korea,422812.0
1982,478,1982,Australia,India,220375.0
1982,522,1982,Sweden,Thailand,187106.0
1982,517,1982,Norway,Brazil,122893.0
1983,574,1983,Japan,Thailand,965692772.0
1983,597,1983,United Kingdom,India,571439323.0
1983,572,1983,Japan,Korea,539887741.0
1983,603,1983,United States,India,389583353.0
1983,563,1983,Germany,India,332753524.0
1983,582,1983,Netherlands,India,289516372.0
1983,592,1983,Switzerland,India,188166161.0
1983,571,1983,Japan,India,150055274.0
1983,588,1983,Sweden,India,135585386.0
1983,606,1983,United States,Saudi Arabia,133328225.0
1983,577,1983,Kuwait,India,133092433.0
1983,559,1983,France,India,114068187.0
1983,605,1983,United States,Korea,108167066.0
1983,555,1983,Denmark,India,83962447.0
1983,552,1983,Canada,India,79413045.0
1983,585,1983,Saudi Arabia,India,79371799.0
1983,573,1983,Japan,Saudi Arabia,73417550.0
1983,566,1983,Germany,Thailand,71978026.0
1983,598,1983,United States,Brazil,67415936.0
1983,608,1983,United States,Thailand,59227183.0
1983,554,1983,Canada,Thailand,56337710.0
1983,558,1983,France,Colombia,49991622.0
1983,548,1983,Belgium,India,46243316.0
1983,560,1983,Germany,Brazil,35667735.0
1983,562,1983,Germany,Colombia,34599012.0
1983,567,1983,Italy,India,33513460.0
1983,568,1983,Japan,Brazil,23905894.0
1983,599,1983,United States,Chile,19344856.0
1983,547,1983,Austria,India,17235616.0
1983,564,1983,Germany,Korea,16711872.0
1983,600,1983,United States,Colombia,12941611.0
1983,583,1983,Netherlands,Thailand,9893404.0
1983,551,1983,Canada,Colombia,8290013.0
1983,545,1983,Australia,India,6182248.0
1983,569,1983,Japan,Chile,5722092.0
1983,580,1983,Netherlands,Chile,4525842.0
1983,557,1983,Finland,India,3517060.0
1983,561,1983,Germany,Chile,2302207.0
1983,591,1983,Switzerland,Colombia,1665569.0
1983,549,1983,Canada,Brazil,1616664.0
1983,570,1983,Japan,Colombia,1580159.0
1983,581,1983,Netherlands,Colombia,1518483.0
1983,550,1983,Canada,Chile,1502066.0
1983,546,1983,Australia,Thailand,1177294.0
1983,553,1983,Canada,Korea,857447.0
1983,593,1983,Switzerland,Thailand,503628.0
1983,587,1983,Sweden,Chile,452807.0
1983,579,1983,Netherlands,Brazil,429321.0
1983,556,1983,Denmark,Thailand,405678.0
1983,586,1983,Sweden,Brazil,188669.0
1983,595,1983,United Kingdom,Colombia,128060.0
1983,594,1983,United Kingdom,Brazil,104776.0
1983,589,1983,Switzerland,Brazil,71947.0
1983,544,1983,Australia,Brazil,28997.0
1983,590,1983,Switzerland,Chile,19785.0
1984,638,1984,Japan,India,1118206615.0
1984,641,1984,Japan,Thailand,745973082.0
1984,665,1984,United Kingdom,India,742821519.0
1984,627,1984,Germany,India,645711318.0
1984,639,1984,Japan,Korea,582687786.0
1984,614,1984,Canada,India,575867400.0
1984,674,1984,United States,India,486384531.0
1984,667,1984,United States,Brazil,404236513.0
1984,669,1984,United States,Chile,274251193.0
1984,621,1984,France,India,223304430.0
1984,634,1984,Italy,India,182708275.0
1984,681,1984,United States,Thailand,175557441.0
1984,647,1984,Netherlands,India,174701601.0
1984,626,1984,Germany,Colombia,152348653.0
1984,677,1984,United States,Korea,146756560.0
1984,654,1984,Saudi Arabia,Korea,134511154.0
1984,617,1984,Denmark,India,130859075.0
1984,658,1984,Sweden,India,125009023.0
1984,619,1984,France,Brazil,101305464.0
1984,652,1984,Norway,India,98956323.0
1984,661,1984,Switzerland,India,79127235.0
1984,616,1984,Canada,Thailand,71976622.0
1984,631,1984,Germany,Thailand,71498683.0
1984,640,1984,Japan,Saudi Arabia,52416487.0
