,year,Country,received,donated,total
295,1993,Italy,277419753.0,124373956.0,401793709.0
516,2002,Romania,277336395.0,0.0,277336395.0
432,1999,Japan,276896345.0,8630152095.0,8907048440.0
611,2008,Chile,275383474.0,10280.0,275393754.0
507,2002,Ireland,272240314.0,22971354.0,295211668.0
242,1990,South Africa,271828896.0,0.0,271828896.0
168,1985,Japan,269876498.0,2525827880.0,2795704378.0
265,1992,Brazil,269771857.0,0.0,269771857.0
72,1980,Japan,264768921.0,1826375443.0,2091144364.0
106,1981,Romania,262077414.0,0.0,262077414.0
230,1990,Chile,260281186.0,0.0,260281186.0
658,2013,Thailand,259915985.0,0.0,259915985.0
11,1974,Chile,257689227.0,0.0,257689227.0
63,1980,Colombia,257368296.0,0.0,257368296.0
497,2002,Austria,249428720.0,64136019.0,313564739.0
158,1984,Taiwan,247894043.0,0.0,247894043.0
288,1993,Chile,246885634.0,0.0,246885634.0
607,2007,Thailand,246621101.0,4469.0,246625570.0
370,1996,Romania,240362515.0,0.0,240362515.0
282,1992,South Africa,234490451.0,0.0,234490451.0
202,1988,Colombia,234020126.0,0.0,234020126.0
222,1989,Korea,233488453.0,0.0,233488453.0
463,2000,Romania,223359836.0,0.0,223359836.0
439,1999,Romania,222375326.0,0.0,222375326.0
394,1997,Slovak Republic,219387257.0,0.0,219387257.0
123,1982,Korea,216083049.0,0.0,216083049.0
124,1982,New Zealand,213884594.0,572352.0,214456946.0
269,1992,Czech Republic,212986243.0,0.0,212986243.0
141,1983,Saudi Arabia,206745775.0,79371799.0,286117574.0
8,1973,Thailand,206363405.0,0.0,206363405.0
148,1984,Colombia,204495135.0,0.0,204495135.0
12,1974,Colombia,203545814.0,0.0,203545814.0
541,2003,Romania,202807923.0,0.0,202807923.0
218,1989,Colombia,200318505.0,0.0,200318505.0
108,1981,Spain,199457361.0,0.0,199457361.0
566,2004,Romania,198721214.0,0.0,198721214.0
127,1982,Saudi Arabia,197083911.0,0.0,197083911.0
646,2011,Thailand,196842375.0,0.0,196842375.0
264,1992,Australia,193553716.0,57379649.0,250933365.0
347,1995,Romania,189810215.0,0.0,189810215.0
337,1995,Czech Republic,182015721.0,0.0,182015721.0
379,1997,Chile,180051006.0,0.0,180051006.0
271,1992,Hungary,179864578.0,0.0,179864578.0
92,1981,Colombia,176100059.0,0.0,176100059.0
481,2001,Ireland,175063408.0,13231961.0,188295369.0
431,1999,Ireland,174812788.0,0.0,174812788.0
279,1992,Romania,174756620.0,0.0,174756620.0
472,2001,Austria,171695803.0,64630850.0,236326653.0
455,2000,Ireland,171345603.0,7976318.0,179321921.0
522,2002,Taiwan,170259619.0,0.0,170259619.0
117,1982,Canada,170174807.0,87937147.0,258111954.0
291,1993,Czech Republic,170159661.0,0.0,170159661.0
392,1997,Romania,168028130.0,0.0,168028130.0
49,1979,Brazil,167462062.0,0.0,167462062.0
154,1984,Japan,166832089.0,2565737016.0,2732569105.0
58,1980,Austria,157632201.0,2720513.0,160352714.0
26,1976,Chile,155551297.0,0.0,155551297.0
146,1984,Canada,153022875.0,691336664.0,844359539.0
217,1989,Chile,152229260.0,0.0,152229260.0
41,1978,Brazil,151531351.0,0.0,151531351.0
280,1992,Saudi Arabia,148479604.0,0.0,148479604.0
59,1980,Belgium,147868500.0,0.0,147868500.0
138,1983,Italy,147595542.0,33513460.0,181109002.0
54,1979,Korea,146708076.0,0.0,146708076.0
451,2000,Czech Republic,145892164.0,0.0,145892164.0
20,1975,Colombia,145779156.0,0.0,145779156.0
105,1981,Portugal,144765310.0,0.0,144765310.0
448,2000,Chile,143596162.0,0.0,143596162.0
27,1976,Colombia,143082677.0,0.0,143082677.0
560,2004,Korea,142941011.0,0.0,142941011.0
513,2002,Luxembourg,139320026.0,9896164.0,149216190.0
624,2009,Chile,136810686.0,40764.0,136851450.0
175,1985,United Arab Emirates,136260119.0,0.0,136260119.0
400,1998,Australia,133176980.0,60046657.0,193223637.0
285,1993,Austria,132570772.0,8599286.0,141170058.0
441,1999,Slovak Republic,132187615.0,0.0,132187615.0
199,1987,United Arab Emirates,131760270.0,0.0,131760270.0
103,1981,Norway,130936843.0,51124921.0,182061764.0
182,1986,Japan,130559708.0,1341662477.0,1472222185.0
132,1983,Brazil,129429939.0,0.0,129429939.0
177,1986,Chile,123522992.0,0.0,123522992.0
94,1981,France,120922782.0,277458713.0,398381495.0
372,1996,Slovak Republic,120767538.0,0.0,120767538.0
405,1998,Czech Republic,120505911.0,0.0,120505911.0
79,1980,Saudi Arabia,120375527.0,112421249.0,232796776.0
632,2010,Chile,120087929.0,89609.0,120177538.0
183,1986,Korea,119590826.0,0.0,119590826.0
500,2002,Chile,118858994.0,117867.0,118976861.0
535,2003,Korea,117959852.0,0.0,117959852.0
66,1980,France,116609845.0,360323267.0,476933112.0
67,1980,Greece,115371982.0,0.0,115371982.0
596,2007,Chile,114940960.0,56833.0,114997793.0
134,1983,Colombia,110714529.0,0.0,110714529.0
93,1981,Cyprus,110234644.0,0.0,110234644.0
31,1976,Thailand,110042103.0,0.0,110042103.0
275,1992,Latvia,106443347.0,0.0,106443347.0
196,1987,South Africa,105825534.0,0.0,105825534.0
608,2007,United States,104519053.0,1111447327.0,1215966380.0
65,1980,Denmark,104288895.0,96585940.0,200874835.0
18,1975,Brazil,100725686.0,0.0,100725686.0
382,1997,Czech Republic,99553819.0,1151600.0,100705419.0
310,1994,Chile,98616016.0,0.0,98616016.0
380,1997,Colombia,94226174.0,0.0,94226174.0
303,1993,Romania,92433527.0,0.0,92433527.0
373,1996,Slovenia,90121406.0,0.0,90121406.0
260,1991,Saudi Arabia,89458009.0,0.0,89458009.0
367,1996,Lithuania,89026730.0,0.0,89026730.0
1,1973,Chile,88056078.0,0.0,88056078.0
64,1980,Cyprus,87110643.0,0.0,87110643.0
552,2004,Chile,86004680.0,37923.0,86042603.0
287,1993,Canada,83925439.0,129123101.0,213048540.0
344,1995,Lithuania,83881095.0,0.0,83881095.0
25,1976,Brazil,83580485.0,0.0,83580485.0
180,1986,Finland,83529726.0,0.0,83529726.0
427,1999,Czech Republic,82522618.0,0.0,82522618.0
149,1984,Cyprus,79282641.0,0.0,79282641.0
284,1993,Australia,79262311.0,37557879.0,116820190.0
128,1982,Spain,77227580.0,0.0,77227580.0
349,1995,Slovak Republic,75586685.0,0.0,75586685.0
227,1989,Taiwan,75026666.0,0.0,75026666.0
76,1980,Poland,75000451.0,0.0,75000451.0
527,2003,Chile,74584206.0,32051.0,74616257.0
191,1987,Colombia,74058995.0,0.0,74058995.0
298,1993,Lithuania,73709134.0,0.0,73709134.0
576,2005,Chile,73415885.0,49967.0,73465852.0
201,1988,Chile,73331550.0,0.0,73331550.0
648,2012,Chile,72801720.0,0.0,72801720.0
479,2001,Hungary,71227382.0,0.0,71227382.0
136,1983,Finland,70538468.0,3517060.0,74055528.0
532,2003,Hungary,68595560.0,0.0,68595560.0
34,1977,Colombia,67799905.0,0.0,67799905.0
300,1993,Norway,67085688.0,72847215.0,139932903.0
357,1996,Chile,66195930.0,0.0,66195930.0
477,2001,Czech Republic,65382378.0,530941.0,65913319.0
261,1991,South Africa,64650922.0,0.0,64650922.0
641,2011,Chile,63814172.0,0.0,63814172.0
125,1982,Norway,63586018.0,110623404.0,174209422.0
277,1992,Norway,62668301.0,40117760.0,102786061.0
190,1987,Chile,62625327.0,0.0,62625327.0
150,1984,Denmark,62021691.0,131061636.0,193083327.0
412,1998,Lithuania,61227246.0,0.0,61227246.0
203,1988,Cyprus,60836704.0,0.0,60836704.0
503,2002,Czech Republic,60471458.0,156771.0,60628229.0
157,1984,Saudi Arabia,59201063.0,346714096.0,405915159.0
